id,gene,cell,nsnp,b,se,CIlower,Ciupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4(PWCOCO),ldcheck,H4 (conventional coloc)
"KANSL1-AS1_T cell, CD4, TH1",KANSL1-AS1,"T cell, CD4, TH1",1,0.101039542,0.014333707,NA,NA,1.80E-12,NA,NA,NA,NA,NA,NA,NA,0.072945477,0.129133606,1.106320386,1.075671886,1.137842137,7.42E-10,Ovarian cancer,ieu-a-1120,"KANSL1-AS1_T cell, CD4, TH1_Ovarian cancer_ieu-a-1120",0.671697069,0.918940801,0.991774
"HOXB3_Monocyte, classical",HOXB3,"Monocyte, classical",1,-0.083947699,0.016709167,NA,NA,5.06E-07,NA,NA,NA,NA,NA,NA,NA,-0.116697665,-0.051197732,0.919479345,0.889854186,0.950090788,6.47E-05,Ovarian cancer,ieu-a-1120,"HOXB3_Monocyte, classical_Ovarian cancer_ieu-a-1120",2.67E-06,1,1.51E-05
"HOXB2_T cell, CD4, TFH",HOXB2,"T cell, CD4, TFH",1,-0.08032195,0.015987488,NA,NA,5.06E-07,NA,NA,NA,NA,NA,NA,NA,-0.111657426,-0.048986473,0.922819197,0.894350586,0.95219401,6.47E-05,Ovarian cancer,ieu-a-1120,"HOXB2_T cell, CD4, TFH_Ovarian cancer_ieu-a-1120",0.000781561,1,0.000794191
"HOXB-AS1_T cell, CD4, TH1 TH17",HOXB-AS1,"T cell, CD4, TH1 TH17",1,-0.086677966,0.017252606,NA,NA,5.06E-07,NA,NA,NA,NA,NA,NA,NA,-0.120493074,-0.052862858,0.916972344,0.886483227,0.948510084,6.47E-05,Ovarian cancer,ieu-a-1120,"HOXB-AS1_T cell, CD4, TH1 TH17_Ovarian cancer_ieu-a-1120",0.002127032,1,0.0228566
"HOXB-AS1_Monocyte, non-classical",HOXB-AS1,"Monocyte, non-classical",1,-0.083973074,0.016714217,NA,NA,5.06E-07,NA,NA,NA,NA,NA,NA,NA,-0.11673294,-0.051213208,0.919456013,0.889822798,0.950076085,6.47E-05,Ovarian cancer,ieu-a-1120,"HOXB-AS1_Monocyte, non-classical_Ovarian cancer_ieu-a-1120",4.20E-11,1,1
"HOXB3_B cell, naive",HOXB3,"B cell, naive",1,-0.084150431,0.016749519,NA,NA,5.06E-07,NA,NA,NA,NA,NA,NA,NA,-0.116979488,-0.051321374,0.919292956,0.889603441,0.949973325,6.47E-05,Ovarian cancer,ieu-a-1120,"HOXB3_B cell, naive_Ovarian cancer_ieu-a-1120",0.000315465,1,0.00155656
"HOXB2_Monocyte, classical",HOXB2,"Monocyte, classical",1,-0.072635391,0.014457536,NA,NA,5.06E-07,NA,NA,NA,NA,NA,NA,NA,-0.10097216,-0.044298621,0.929939833,0.903958199,0.956668234,6.47E-05,Ovarian cancer,ieu-a-1120,"HOXB2_Monocyte, classical_Ovarian cancer_ieu-a-1120",2.67E-06,1,1.51E-05
"SNIP1_T cell, CD4, TH17",SNIP1,"T cell, CD4, TH17",1,0.064591523,0.018165945,NA,NA,0.000377063,NA,NA,NA,NA,NA,NA,NA,0.028986271,0.100196774,1.066723203,1.029410462,1.105388409,0.03958084,Ovarian cancer,ieu-a-1120,"SNIP1_T cell, CD4, TH17_Ovarian cancer_ieu-a-1120",0.001807623,1,1
"CRHR1-IT1_T cell, CD4, naive",CRHR1-IT1,"T cell, CD4, naive",1,0.075487007,0.013224001,NA,NA,1.14E-08,NA,NA,NA,NA,NA,NA,NA,0.049567965,0.10140605,1.078409216,1.050817008,1.106725936,1.78E-06,Ovarian cancer,ieu-a-1120,"CRHR1-IT1_T cell, CD4, naive_Ovarian cancer_ieu-a-1120",0.240900954,0.553390186,1
"LRRC37A4P_T cell, CD8, naive activated",LRRC37A4P,"T cell, CD8, naive activated",1,-0.093584962,0.013387379,NA,NA,2.74E-12,NA,NA,NA,NA,NA,NA,NA,-0.119824225,-0.067345698,0.910660643,0.887076349,0.934871962,8.05E-10,Ovarian cancer,ieu-a-1120,"LRRC37A4P_T cell, CD8, naive activated_Ovarian cancer_ieu-a-1120",0.040119729,1,1
"CRHR1-IT1_Monocyte, classical",CRHR1-IT1,"Monocyte, classical",1,0.094244804,0.012862701,NA,NA,2.35E-13,NA,NA,NA,NA,NA,NA,NA,0.069033911,0.119455698,1.098828711,1.071472543,1.12688332,7.42E-10,Ovarian cancer,ieu-a-1120,"CRHR1-IT1_Monocyte, classical_Ovarian cancer_ieu-a-1120",0.242835056,0.978878721,1
"RP11-259G18.3_B cell, naive",RP11-259G18.3,"B cell, naive",1,0.094971384,0.014125016,NA,NA,1.77E-11,NA,NA,NA,NA,NA,NA,NA,0.067286351,0.122656416,1.099627387,1.069601716,1.130495934,3.38E-09,Ovarian cancer,ieu-a-1120,"RP11-259G18.3_B cell, naive_Ovarian cancer_ieu-a-1120",0.346631816,0.848176531,1
"RP11-259G18.3_T cell, CD8, naive activated",RP11-259G18.3,"T cell, CD8, naive activated",1,0.110000038,0.015968605,NA,NA,5.64E-12,NA,NA,NA,NA,NA,NA,NA,0.078701573,0.141298503,1.116278113,1.081881412,1.151768403,1.25E-09,Ovarian cancer,ieu-a-1120,"RP11-259G18.3_T cell, CD8, naive activated_Ovarian cancer_ieu-a-1120",0.161088731,0.764858692,1
"DND1P1_T cell, CD4, naive",DND1P1,"T cell, CD4, naive",1,0.106425388,0.015449676,NA,NA,5.64E-12,NA,NA,NA,NA,NA,NA,NA,0.076144024,0.136706753,1.112294933,1.079117981,1.146491894,1.25E-09,Ovarian cancer,ieu-a-1120,"DND1P1_T cell, CD4, naive_Ovarian cancer_ieu-a-1120",0.263136583,0.764858692,1
